2020, 'SOUTHERN OREGON COASTAL'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'ASHO3', 'ASHLAND', '0.86', '0.49', '2.12', '3.42', '1.38', '1.00', '0.36', '2.30', '1.54', '0.00', '0.00', '0.16', '13.63', '68', '68'
2020, 'CVJO3', 'CAVE JUNCTION', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'GOLO3', 'GOLD BEACH', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'GPSO3', 'GRANTS PASS KAJO', '0.61', '1.21', '4.19', '6.31', '0.24', '0.77', '0.58', '2.02', '0.87', '0.00', '0.00', '0.20', '17.00', '55', '55'
2020, 'GSPO3', 'GREEN SPRINGS PP', '0.35', '0.75', '2.44', '4.14', '0.66', 'M', '0.26', '2.59', 'M', 'M', '0.00', '0.20', 'M'
2020, 'LEMO3', 'LEMOLO LAKE', '3.68', '1.81', '5.59', '18.19', '4.34', '4.32', '3.37', '4.05', '2.52', '0.00', '0.02', '2.33', '50.22', '76', '76'
2020, 'MFR', 'MEDFORD', '0.65', '0.24', '2.86', '3.43', '0.51', '0.74', '0.46', '2.50', '1.20', '0.00', '0.00', '0.05', '12.64', '69', '69'
2020, 'OTH', 'NORTH BEND', '2.43', '2.10', '9.16', '7.73', '2.85', '3.71', '2.71', '4.66', '2.00', '0.04', '0.07', '1.37', '38.83', '60', '60'
2020, 'PRSO3', 'PROSPECT 2SW', '2.22', '1.95', '4.12', '9.19', '2.08', '3.27', '1.43', '4.06', '1.80', '0.00', '0.00', '0.77', '30.89', '74', '74'
2020, 'RIDO3', 'RIDDLE', '0.88', '1.73', '4.20', '7.34', '1.35', '1.74', '1.34', '2.16', '0.81', '0.00', '0.00', '0.72', '22.27', '71', '71'
2020, 'ROGO3', 'ROSEBURG', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'SXT', 'SEXTON SUMMIT', 'M', '0.42', '5.34', '7.06', '0.73', '2.15', '0.78', '4.16', '0.92', '0.00', '0.05', '0.80', 'M'
2020, 'TKFO3', 'TOKETEE FALLS', '2.70', '1.54', '3.55', '10.37', '3.16', '4.31', '2.39', '4.26', '2.41', '0.00', '0.01', '1.54', '36.24', '75', '75'
2020, 'WINO3', 'WINCHESTER DAM', '1.28', '1.77', '4.14', '8.24', '1.60', '2.63', '1.69', '2.75', '1.33', '0.00', '0.00', '1.10', '26.53', '73', '73'
2020, 'WLMO3', 'WILLIAMS', '0.65', '0.85', '4.52', '7.00', '0.27', '1.40', '0.31', '2.70', '0.79', '0.00', '0.01', '0.08', '18.58', '57', '57'
2020, 'OREGON CLOSED BASINS'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'HMRO3', 'HART MOUNTAIN REF', '0.00', '0.00', 'M', '2.60', '0.08', '1.63', '0.69', '0.97', '2.59', '0.03', '0.02', '0.00', 'M'
2020, 'PASO3', 'PAISLEY', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'SMMO3', 'SUMMER LAKE', '0.39', '0.37', '1.51', '1.93', '0.27', '1.89', '0.40', '1.03', '0.55', '0.06', '0.30', '0.00', '8.70', '65', '65'
2020, 'SVLO3', 'SILVER LAKE', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'NORTHERN CALIFORNIA COASTAL'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'CVLC1', 'COVELO', 'M', 'M', '5.52', '7.08', '0.00', '2.29', '1.48', '3.04', '0.12', '0.00', '0.08', '0.00', 'M'
2020, 'EKA', 'EUREKA', '1.51', '1.75', '7.63', '5.41', '0.36', '2.87', '2.05', '3.49', '0.50', '0.01', '0.05', '0.22', '25.85', '64', '64'
2020, 'FORC1', 'FORT ROSS', '0.16', '1.04', '11.73', '4.55', '0.04', '2.59', '1.77', '2.72', '0.05', '0.00', '0.05', '0.01', '24.71', '62', '62'
2020, 'FRBC1', 'FT BRAGG 5N', '0.62', '1.24', '6.05', '8.34', '0.11', '2.79', '1.92', '2.51', '0.17', '0.03', '0.02', '0.20', '24.00', '55', '55'
2020, 'GASC1', 'GASQUET RS', '2.62', '2.36', '14.24', '22.44', '1.44', '6.44', '2.80', '8.60', '2.16', '0.00', '0.00', '1.32', '64.42', '71', '71'
2020, 'SCOC1', 'SCOTIA', '0.76', '2.04', '11.06', '5.60', '0.17', '4.07', '1.86', '3.52', '0.49', '0.01', '0.04', '0.29', '29.91', '60', '60'
2020, 'UPPER KLAMATH'
2020, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2020, 'CHEO3', 'CHEMULT', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'CHQO3', 'CHILOQUIN 7NW', 'M', 'M', '3.82', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'CRLO3', 'CRATER LAKE NP', '3.04', '2.34', '8.59', '18.78', '3.20', '6.90', '4.67', '6.43', '3.22', '0.00', '0.10', '1.44', '58.71', '89', '89'
2020, 'GBZO3', 'GERBER', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2020, 'HOWO3', 'HOWARD PRAIRIE', '2.99', '1.64', '4.14', '6.08', '0.92', '1.36', '1.30', '2.99', '0.94', '0.06', '0.00', '0.29', '22.71', '72', '72'
2020, 'KENO3', 'KENO', '0.85', '0.64', '2.64', '3.01', '0.20', '0.53', '0.34', '1.65', '0.40', '0.00', '0.17', '0.00', '10.43', '53', '53'
2020, 'LMT', 'KLAMATH FALLS', '0.39', '0.11', '1.67', '1.50', '0.12', '0.75', '0.23', '1.18', '0.18', '0.00', '0.25', '0.00', '6.38', '43', '43'
2020, 'COPC1', 'COPCO #1 DAM', '0.77', '0.45', '2.41', '2.95', '0.26', '0.57', '0.23', '2.84', '0.28', '0.00', '1.29', '0.00', '12.05', '58', '58'
2020, 'LOWER KLAMATH'
